Latitudine,Longitudine,Tipologia,Nome
40.433948,-3.6829667,Supermarket,Dia
40.4342625,-3.6795813,Supermarket,La Sirena
40.4341178,-3.677797,Supermarket,La Plaza de DIA
40.402624,-3.6793977,Supermarket,Dia
40.4556469,-3.4837959,Supermarket,Maxi Dia
40.3119249,-3.7166906,Supermarket,Ahorramás
40.5474632,-3.6342391,Supermarket,Mercadona
40.4299709,-3.6742163,Supermarket,Supersol
40.4317711,-3.7096533,Supermarket,Lidl
40.4370092,-3.7099635,Supermarket,Lidl
40.4004807,-3.712361,Supermarket,Mercadona
40.387505,-3.7440111,Supermarket,Ahorramás
40.4368215,-3.7143394,Supermarket,Dia Market
40.3990373,-3.604113,Supermarket,Casa Elías
40.418134,-3.6218844,Supermarket,Carrefour
40.3289794,-3.8668702,Supermarket,Cash Ecofamilia
40.3937817,-3.7070344,Supermarket,Dia & Go
40.4058561,-3.753141,Supermarket,Dia
40.3946745,-3.7677234,Supermarket,Carrefour Market
40.4121117,-3.7332957,Supermarket,Dia
40.4079921,-3.6368665,Supermarket,Condis
40.3730833,-3.7737616,Supermarket,Mercadona
40.340396,-3.5188168,Supermarket,Dia
40.4063576,-3.6060502,Supermarket,Dia Market
40.57911,-3.9541805,Supermarket,Supersol
40.4499467,-3.4711392,Supermarket,Carrefour
40.4101594,-3.7389681,Supermarket,Dia
40.3404658,-3.7340871,Supermarket,Alcampo
40.3747233,-3.620216,Supermarket,Ahorramás
40.4491903,-3.4678182,Supermarket,Herbolario Rosi
40.5681576,-3.9205423,Supermarket,Alcampo
40.4279807,-3.6161401,Supermarket,Ahorramás
40.4033085,-3.7138339,Supermarket,Supermercado Montepinos
40.410441,-3.7278281,Supermarket,Dia
40.4433395,-3.7033083,Supermarket,Simply Market
40.4316302,-3.7108444,Supermarket,Robin&Co Food Market
40.4572214,-3.4710539,Supermarket,Lidl
40.4596729,-3.4601717,Supermarket,Ahorramás
40.5514691,-3.8955278,Supermarket,Carrefour Market
40.424502,-3.7095008,Supermarket,Suma
40.3989129,-3.7677557,Supermarket,Covirán
40.3370637,-3.5179572,Supermarket,Ahorramás
40.4708787,-3.6500063,Supermarket,Galerías El Pinar
40.4703767,-3.6475172,Supermarket,Dia
40.3579958,-3.6941053,Supermarket,Dia
40.3578461,-3.6897743,Supermarket,Condis
40.3531946,-3.6912689,Supermarket,Ahorramás
40.4556258,-3.6931389,Supermarket,Carrefour
40.3313045,-3.8641625,Supermarket,Dia
40.4570586,-3.7035106,Supermarket,Mercadona
40.4543723,-3.6960623,Supermarket,Dia Market
40.3995766,-3.6720906,Supermarket,Ahorramás
40.4752543,-3.5808065,Supermarket,Ahorramás
40.3503296,-3.8263681,Supermarket,Dia Market
40.333657,-3.8621688,Supermarket,Carrefour Express
40.4974707,-3.6611121,Supermarket,Hipercor
40.4386573,-3.613891,Supermarket,La Plaza de DIA
40.4387757,-3.6139661,Supermarket,Lidl
40.4869762,-3.7174323,Supermarket,Dia
40.4447796,-3.8092429,Supermarket,Simply Market
40.4468717,-3.5865153,Supermarket,Mercadona
40.6054221,-3.7173477,Supermarket,Dia
40.3158804,-3.8505156,Supermarket,Mercadona
40.4264314,-3.5267074,Supermarket,La Plaza de DIA
40.368686,-3.4845376,Supermarket,Dia
40.3896366,-3.7353538,Supermarket,Mercadona
40.5994339,-3.7161193,Supermarket,Mercadona
40.367547,-3.4874042,Supermarket,Super Hermanos Gómez
40.4156986,-3.6755879,Supermarket,La Plaza de DIA
40.4159181,-3.6757313,Supermarket,Dia & Go
40.3729408,-3.6194482,Supermarket,Ahorramás
40.4185005,-3.6773828,Supermarket,Dia
40.4706725,-3.7196336,Supermarket,Suma
40.469617,-3.7218049,Supermarket,Unide
40.4681653,-3.7230983,Supermarket,Hiber
40.4654428,-3.7194698,Supermarket,Dia Market
40.4698788,-3.7223299,Supermarket,Dia
40.4473295,-3.7043713,Supermarket,Carrefour Market
40.4554084,-3.706747,Supermarket,Dia
40.4133061,-3.7273157,Supermarket,La Sirena
40.4125345,-3.7264756,Supermarket,Dia
40.4137542,-3.7260959,Supermarket,Dia Market
40.4048988,-3.7449423,Supermarket,Dia
40.4037165,-3.744979,Supermarket,Caprabo
40.3904122,-3.6894528,Supermarket,Ahorramás
40.5762756,-3.9291756,Supermarket,Gama
40.4494119,-3.7106556,Supermarket,La Plaza de DIA
40.341701,-3.5364536,Supermarket,Carrefour
40.3364064,-3.525256,Supermarket,Mercadona
40.435552,-3.7066426,Supermarket,Dia
40.3974594,-3.7659321,Supermarket,Dia
40.4523196,-3.7092995,Supermarket,Ahorramás
40.4868104,-3.7001816,Supermarket,Supersol
40.4763679,-3.6994387,Supermarket,Udaco
40.4552056,-3.7037506,Supermarket,Dia
40.606589,-3.7165603,Supermarket,Ahorramás
40.397226,-3.6992085,Supermarket,Ahorramás
40.3962222,-3.6984504,Supermarket,Dia Market
40.3952352,-3.6976312,Supermarket,Alcampo
40.4047841,-3.7121749,Supermarket,La Despensa
40.3272752,-3.8599428,Supermarket,Carrefour Market
40.4265573,-3.5332526,Supermarket,La Plaza de DIA
40.4220946,-3.5345353,Supermarket,Ahorramás
40.4607473,-3.4899241,Supermarket,Mercadona
40.38488,-3.7826425,Supermarket,Dia
40.401683,-3.6648839,Supermarket,Ahorramás
40.4532563,-3.6151887,Supermarket,Mercadito Piovera
40.4310548,-3.7156809,Supermarket,ALDI
40.3863771,-3.7526168,Supermarket,Dia
40.4886792,-3.6615746,Supermarket,Dia
40.444321,-3.6752546,Supermarket,El Sabroso
40.5754683,-3.927901,Supermarket,Dia
40.54132,-3.632764,Supermarket,Dia
40.5415826,-3.6351383,Supermarket,Eroski
40.4623859,-3.4638308,Supermarket,Ahorramás
40.3973737,-3.7710951,Supermarket,Galería de Alimentación Villaviciosa
40.394771,-3.6799609,Supermarket,Alcampo
40.3981168,-3.7711318,Supermarket,Dia
40.4226775,-3.6779599,Supermarket,Dia Market
40.4112162,-3.6949414,Supermarket,Tiyoweh ecotienda
40.4079276,-3.7353419,Supermarket,Carrefour Market
40.5085827,-3.6941048,Supermarket,Ahorramás
40.4077507,-3.6465734,Supermarket,Dia
40.405586,-3.6504647,Supermarket,Carrefour Market
40.4051088,-3.6458184,Supermarket,Lidl
40.455499,-3.6793124,Supermarket,Dia
40.4548409,-3.6805726,Supermarket,La Plaza de DIA
40.3262139,-3.8694224,Supermarket,Dia
40.4593511,-3.460838,Supermarket,Dia
40.4090831,-3.676125,Supermarket,Mercadona
40.4413966,-3.6546448,Supermarket,La Plaza
40.470011,-3.5806557,Supermarket,Hiber
40.4203301,-3.7085914,Supermarket,Dia Market
40.4156102,-3.7012139,Supermarket,Santa Ana
40.3865261,-3.7014668,Supermarket,Dia Market
40.3893878,-3.7004158,Supermarket,Mercadona
40.4968307,-3.7048319,Supermarket,GAMA
40.4272956,-3.5399268,Supermarket,Dia
40.3239463,-3.7674881,Supermarket,Dia
40.4466859,-3.7102436,Supermarket,La Despensa
40.4032202,-3.6751672,Supermarket,BM
40.4041465,-3.6763836,Supermarket,Dia Market
40.4047294,-3.6728795,Supermarket,Dia Market
40.4072408,-3.6733251,Supermarket,Lidl
40.4371276,-3.7143185,Supermarket,La Sirena
40.4401077,-3.6289199,Supermarket,Supercor
40.438905,-3.6347973,Supermarket,Dia Market
40.3457847,-3.7105235,Supermarket,Ahorramás
40.4096389,-3.6696277,Supermarket,La Plaza de DIA
40.4442141,-3.6718918,Supermarket,Condis
40.4265335,-3.7068578,Supermarket,Covirán
40.5228233,-3.8911589,Supermarket,Mercadona
40.4117919,-3.6593671,Supermarket,Mercadona
40.4816675,-3.717575,Supermarket,Unide Market
40.4628431,-3.4785018,Supermarket,Dia Market
40.3916514,-3.709867,Supermarket,Dia
40.4569296,-3.6994251,Supermarket,Dia
40.3965684,-3.7140897,Supermarket,Dia
40.3940756,-3.7082656,Supermarket,Lidl
40.3965866,-3.7618321,Supermarket,Carrefour Market
40.3937323,-3.7650943,Supermarket,AlCampo
40.4265656,-3.7036466,Supermarket,Dia
40.4215515,-3.7050255,Supermarket,Carrefour Bio
40.4351387,-3.7106616,Supermarket,Dia Market
40.3811752,-3.7139311,Supermarket,Dia
40.3825776,-3.7138161,Supermarket,Soria
40.4576873,-3.4542046,Supermarket,Frutos Secos Bulevar
40.4593706,-3.4612157,Supermarket,Eci
40.4180846,-3.7084812,Supermarket,Suma
40.4282572,-3.7063972,Supermarket,Dia Market
40.4229448,-3.7032698,Supermarket,Dia Market
40.4161294,-3.6766109,Supermarket,La Sirena
40.4836281,-3.7213263,Supermarket,Hiber
40.411034,-3.6680473,Supermarket,Dia
40.4040429,-3.6807522,Supermarket,BM
40.4262981,-3.7323919,Supermarket,Dia
40.4213347,-3.7216174,Supermarket,La Despensa
40.397779,-3.6192085,Supermarket,Ahorramás
40.3258187,-3.8537445,Supermarket,EcoMóstoles Centro
40.4400712,-3.6528073,Supermarket,Dia Market
40.45874,-3.673473,Supermarket,Naturhouse
40.4595594,-3.6931672,Supermarket,Sánchez Romero
40.475725,-3.7203536,Supermarket,Supercor
40.4567149,-3.7061727,Supermarket,PrimaPix
40.4534419,-3.7032183,Supermarket,Casa Elías
40.4566039,-3.7085347,Supermarket,Mi Alcampo
40.4564493,-3.7079602,Supermarket,La Sirena
40.4108447,-3.7136495,Supermarket,Dia&Go
40.4262303,-3.7152117,Supermarket,Supersol
40.4043422,-3.6416026,Supermarket,Dia
40.4071711,-3.6361638,Supermarket,Dia
40.4248151,-3.5500575,Supermarket,Dia
40.4035939,-3.6491964,Supermarket,Dia
40.4618804,-3.7012527,Supermarket,Covirán
40.4096188,-3.6757617,Supermarket,Supercor
40.3975232,-3.6259532,Supermarket,Dia
40.4074662,-3.6578176,Supermarket,Ahorramás
40.4322905,-3.6550869,Supermarket,Supersol
40.5020925,-3.5082855,Supermarket,Hiper Usera
40.4331399,-3.7039552,Supermarket,Carrefour Market
40.473791,-3.6426214,Supermarket,Dia
40.4436564,-3.7038401,Supermarket,Lidl
40.4343313,-3.7045345,Supermarket,Mercadona
40.3892931,-3.692129,Supermarket,Alcampo
40.3862643,-3.6908621,Supermarket,Mercadona
40.3137759,-3.8571707,Supermarket,Dia
40.4071016,-3.6367793,Supermarket,UDACO
40.4747749,-3.8722376,Supermarket,Supercor
40.4922162,-3.8708893,Supermarket,Game
40.4185077,-3.5417131,Supermarket,Ahorramás
40.4281683,-3.5366306,Supermarket,Dia
40.4279957,-3.7020947,Supermarket,Lidl
40.4243264,-3.6063668,Supermarket,La Sirena
40.3750806,-3.7744446,Supermarket,Dia
40.4265429,-3.6080509,Supermarket,Mercadona
40.428015,-3.5616929,Supermarket,Ahorramás
40.3920287,-3.7083476,Supermarket,HiperSol
40.4552217,-3.4826123,Supermarket,Landia
40.3935851,-3.7231198,Supermarket,La Sirena
40.394678,-3.7210492,Supermarket,La Plaza de DIA
40.4374069,-3.6865052,Supermarket,AvatarBTC
40.3292876,-3.7619203,Supermarket,Hiper Leganés
40.3320204,-3.7615704,Supermarket,Dia Market
40.3920801,-3.7250944,Supermarket,Hiber
40.4061912,-3.6988754,Supermarket,Mercadona
40.4608584,-3.4843842,Supermarket,Ahorramás
40.3978396,-3.6680482,Supermarket,Carrefour Market
40.3634812,-3.6925423,Supermarket,Carrefour
40.3977062,-3.7184266,Supermarket,Dia
40.4332125,-3.7166001,Supermarket,Simply Market
40.3724433,-3.6185329,Supermarket,Dia
40.390074,-3.6389538,Supermarket,Ahorramás
40.5612192,-3.6153064,Supermarket,Ahorramás
40.3917046,-3.7265442,Supermarket,Dia Market
40.43241,-3.6475482,Supermarket,Eroski City
40.4315669,-3.6492532,Supermarket,Dia
40.4759464,-3.7131382,Supermarket,Dia
40.5664129,-3.6090235,Supermarket,La Plaza de DIA
40.3828307,-3.6061784,Supermarket,Condis
40.3847091,-3.6075237,Supermarket,Dia
40.4042264,-3.6754823,Supermarket,Ahorramás
40.4069644,-3.6687864,Supermarket,Ahorramás
40.4255129,-3.7042647,Supermarket,Super Internacional
40.3247919,-3.7732899,Supermarket,Condis
40.3261579,-3.7709698,Supermarket,Unide Market
40.4313477,-3.6540339,Supermarket,Covirán
40.4317914,-3.6539225,Supermarket,Dia
40.3294577,-3.7691086,Supermarket,Mercadona
40.3304453,-3.7659007,Supermarket,Hiber
40.3291265,-3.7670889,Supermarket,Dia
40.3266911,-3.7646186,Supermarket,Dia
40.3286705,-3.7616628,Supermarket,Dia
40.4299652,-3.659227,Supermarket,Covirán
40.4254089,-3.6544795,Supermarket,Dia
40.4567533,-3.6925915,Supermarket,Open25
40.3785061,-3.6691818,Supermarket,Ahorramás
40.4573794,-3.6924109,Supermarket,Casa Elías
40.4414496,-3.6751175,Supermarket,Dia
40.4053473,-3.6787216,Supermarket,Lidl
40.448391,-3.6782454,Supermarket,Caprabo
40.4250731,-3.6710166,Supermarket,Dia Market
40.4237442,-3.5324798,Supermarket,Dia
40.3479782,-3.7145015,Supermarket,Ahorramás
40.4597869,-3.696503,Supermarket,La Sirena
40.3437929,-3.7150583,Supermarket,Dia Market
40.3340239,-3.7118486,Supermarket,Mercadona
40.4922165,-3.6545131,Supermarket,Mi Alcampo
40.4349496,-3.7145184,Supermarket,Ahorramás
40.4313045,-3.715664,Supermarket,Dia Market
40.4321409,-3.6675608,Supermarket,Dia Market
40.4628766,-3.6297869,Supermarket,Ahorramás
40.5217995,-3.8936092,Supermarket,Los Castellanos
40.4286509,-3.7085833,Supermarket,Dia
40.4314768,-3.7080373,Supermarket,Dia Market
40.463129,-3.4681355,Supermarket,Dia
40.489145,-3.8965915,Supermarket,Aldi
40.577508,-3.9255259,Supermarket,BM
40.4394535,-3.6982883,Supermarket,Condis
40.4396514,-3.698386,Supermarket,Dia Market
40.4034397,-3.6934301,Supermarket,Ahorramás
40.3872262,-3.7065929,Supermarket,Mercado de Usera
40.4369074,-3.6376789,Supermarket,Ahorramás
40.4347103,-3.6422656,Supermarket,Mercadona
40.4355934,-3.6410063,Supermarket,Dia
40.4316846,-3.6975151,Supermarket,Dia Market
40.3130003,-3.8786478,Supermarket,Joyland
40.3986485,-3.6701698,Supermarket,Dia & Go
40.4354129,-3.643652,Supermarket,Dia
40.4324546,-3.6406599,Supermarket,Ahorramás
40.4269936,-3.6422029,Supermarket,Ahorramás
40.4192463,-3.5722685,Supermarket,Dia
40.4296007,-3.6442581,Supermarket,Ahorramás
40.4304913,-3.6418347,Supermarket,Ahorramás
40.4303451,-3.6417213,Supermarket,Super Dia
40.5124455,-3.6778586,Supermarket,Mercadona
40.3543717,-3.6949291,Supermarket,Dia
40.4336544,-3.6459282,Supermarket,Ahorramás
40.4042294,-3.7021574,Supermarket,La Sirena
40.4571066,-3.4775734,Supermarket,Ahorramás
40.4512333,-3.678536,Supermarket,Fass
40.4290987,-3.6986213,Supermarket,La Plaza
40.4540735,-3.6927016,Supermarket,ALDI
40.3613923,-3.7612903,Supermarket,Dia
40.4511088,-3.6779045,Supermarket,Dia Market
40.4267832,-3.7001518,Supermarket,Dia
40.3474558,-3.7064401,Supermarket,Dia Market
40.4678501,-3.8145949,Supermarket,Mercadona
40.4078312,-3.6974766,Supermarket,Ahorramás
40.4078483,-3.6975867,Supermarket,Dia
40.4213688,-3.6762202,Supermarket,La Plaza de DIA
40.4260306,-3.5644214,Supermarket,Carrefour Market
40.383843,-3.6464238,Supermarket,Dia
40.3582736,-3.9068782,Supermarket,Supercor
40.4422544,-3.7035103,Supermarket,Carrefour
40.4631705,-3.6490856,Supermarket,Unide
40.4633374,-3.647578,Supermarket,Dia
40.3872019,-3.7226443,Supermarket,Dia
40.3885963,-3.7270384,Supermarket,Mercadona
40.419015,-3.7092183,Supermarket,Dia
40.4277291,-3.7179962,Supermarket,Dia&Go
40.4697619,-3.6987198,Supermarket,Unide
40.470691,-3.6901982,Supermarket,Unide
40.4656809,-3.6948189,Supermarket,Galería de Alimentación
40.4702142,-3.6961401,Supermarket,Dia
40.4701285,-3.695986,Supermarket,Dia Market
40.3518577,-3.6971836,Supermarket,Dia Market
40.4057284,-3.6994297,Supermarket,Lidl
40.4546786,-3.7070365,Supermarket,Ahorramás
40.4567576,-3.6758414,Supermarket,DIA&GO
40.4643866,-3.6819678,Supermarket,Supermercado La Paloma
40.4572875,-3.6721471,Supermarket,Eroski City
40.4679862,-3.6863434,Supermarket,Supermercado Gama
40.4953384,-3.9642657,Supermarket,Supercor
40.4443706,-3.674282,Supermarket,Ahorramás
40.4481461,-3.6685898,Supermarket,Mercadona
40.4740599,-3.6393899,Supermarket,La Plaza de DIA
40.4721131,-3.6367,Supermarket,La Plaza de DIA
40.4570198,-3.6862302,Supermarket,Supercor
40.4522754,-3.678976,Supermarket,La Plaza
40.3493473,-3.8109812,Supermarket,Dia
40.4429879,-3.6696602,Supermarket,Bon Area
40.4527936,-3.708281,Supermarket,Hiper Usera
40.4495834,-3.7096635,Supermarket,Dia
40.5199832,-3.9284638,Supermarket,Los Castellanos
40.5536122,-3.6487116,Supermarket,Manjar de la Despensa
40.4254489,-3.5636762,Supermarket,Supermercados Plaza
40.4043018,-3.7130894,Supermarket,Dia Market
40.548885,-3.6229622,Supermarket,Dia
40.4763339,-3.6682553,Supermarket,Supersol
40.4188686,-3.6997464,Supermarket,Dia Market
40.4617833,-3.6888087,Supermarket,Sánchez Romero Supermercados
40.4169706,-3.6737047,Supermarket,Ahorramás
40.4719325,-3.8726806,Supermarket,Gama
40.4335004,-3.6974468,Supermarket,Unide
40.4669872,-3.6970461,Supermarket,Alimentación FF 43
40.4683045,-3.7007044,Supermarket,Alimentación Frutos Secos
40.4630039,-3.6971355,Supermarket,Casa Elías
40.4632499,-3.6965059,Supermarket,Lidl
40.4680566,-3.7002227,Supermarket,San-San Store
