Latitudine,Longitudine,Tipologia,Nome
48.8791372,2.3927158,Supermarket,Lidl
48.8292969,2.357799,Supermarket,Tang Frères
48.8527454,2.4068874,Supermarket,Hall' Shop
48.8273343,2.3321899,Supermarket,U Express
48.8553674,2.3883285,Supermarket,8 à Huit
48.8571922,2.3907193,Supermarket,Le Retour à la Terre Rive Droite
48.8391613,2.2999088,Supermarket,Aldi
48.9214745,2.2719794,Supermarket,Franprix
48.8846545,2.3473544,Supermarket,Leader Price
48.9243805,2.1880052,Supermarket,La Vie Claire
48.8358959,2.4026305,Supermarket,Naturalia
48.8818036,2.3371365,Supermarket,Bio C' Bon
48.8773306,2.3392579,Supermarket,Carrefour City
48.8946409,2.4039016,Supermarket,Votre Marché
48.8974057,2.2880062,Supermarket,ALDI
48.8792242,2.3541252,Supermarket,CocciMarket
48.8218894,2.206825,Supermarket,Carrefour City
48.8254389,2.2153437,Supermarket,Lidl
48.8977587,2.2384816,Supermarket,Franprix
48.8222576,2.2080772,Supermarket,Monoprix
48.8361192,2.2976662,Supermarket,Franprix
48.87102,2.3526811,Supermarket,Maison Huang
48.8952116,2.2907866,Supermarket,Franprix
48.9441366,2.3257609,Supermarket,Vidal
48.889018,2.287987,Supermarket,monop'
48.8479114,2.2725082,Supermarket,Carrefour City
48.8758146,2.3429249,Supermarket,Franprix
48.9185648,2.2831106,Supermarket,Franprix
48.9207296,2.4100678,Supermarket,Super U
48.8357293,2.3492905,Supermarket,monop'
48.8776642,2.394944,Supermarket,Monoprix
48.8965003,2.2587658,Supermarket,Franprix
48.8944324,2.2526632,Supermarket,Carrefour Market
48.8421533,2.3628939,Supermarket,Monop' Austerlitz
48.8861169,2.3918493,Supermarket,Franprix
48.8787422,2.1816655,Supermarket,Naturalia
48.8887877,2.3498107,Supermarket,Carrefour Market
48.8952673,2.425951,Supermarket,ALDI
48.8868122,2.3256852,Supermarket,Monoprix
48.8834537,2.3328703,Supermarket,Monoprix
48.8830525,2.326204,Supermarket,Auchan
48.9152984,2.400265,Supermarket,Franprix
48.9151355,2.4030167,Supermarket,Coccinelle Express
48.8939964,2.332368,Supermarket,U Express
48.8938623,2.3337104,Supermarket,Monoprix
48.8900403,2.3338566,Supermarket,Carrefour Express
48.8965964,2.3381709,Supermarket,Carrefour City
48.8970628,2.337963,Supermarket,Leader Price
48.8975027,2.3345968,Supermarket,Franprix
48.8217547,2.4200063,Supermarket,Carrefour City
48.8942003,2.4582537,Supermarket,Auchan Supermarché
48.9054398,2.343624,Supermarket,Carrefour City
48.8931394,2.3284963,Supermarket,Bio C' Bon
48.8309452,2.3126819,Supermarket,Carrefour City
48.891464,2.2548703,Supermarket,Monoprix
48.9316805,2.2755392,Supermarket,ALDI
48.8414115,2.2808276,Supermarket,Lidl
48.8568635,2.4080009,Supermarket,Leader Price
48.8483637,2.4329434,Supermarket,Naturalia
48.8536903,2.4233612,Supermarket,U express Montreuil Robespierre
