variety,points,price
Loureiro,87.65217391304348,12.61111111111111
Loureiro-Arinto,86.0,10.0
Macabeo,85.03703703703704,15.333333333333334
Macabeo-Chardonnay,85.33333333333333,11.5
Macabeo-Gewürztraminer,87.0,10.0
Macabeo-Moscatel,85.0,7.5
Madeira Blend,88.75,35.857142857142854
Madeleine Angevine,85.5,17.5
Magliocco,88.6,28.333333333333332
Malagousia,88.45454545454545,20.727272727272727
Malagouzia,88.5,20.0
Malagouzia-Chardonnay,86.0,8.0
Malbec,87.78889211980227,28.68654935878318
Malbec Blend,89.66666666666667,66.5
Malbec-Bonarda,86.28571428571429,16.571428571428573
Malbec-Cabernet,91.66666666666667,113.33333333333333
Malbec-Cabernet Franc,88.36363636363636,38.0
Malbec-Cabernet Sauvignon,88.125,38.06944444444444
Malbec-Carménère,91.0,43.0
Malbec-Merlot,88.12037037037037,20.117021276595743
Malbec-Petit Verdot,91.0,39.5
Malbec-Syrah,85.57142857142857,16.9
Malbec-Tannat,89.53333333333333,31.666666666666668
Malbec-Tempranillo,87.33333333333333,22.333333333333332
Malmsey,90.5,29.0
Malvar,84.5,23.5
Malvasia,87.23214285714286,26.037735849056602
Malvasia Bianca,87.92307692307692,21.24
Malvasia Fina,87.4,23.6
Malvasia Istriana,85.9,19.77777777777778
Malvasia Nera,86.8,31.6
Malvasia di Candia,87.0,22.5
Malvasia-Viura,85.0,17.666666666666668
Malvazija,90.0,20.0
Malvoisie,86.0,14.0
Mandilaria,88.5,25.0
Mansois,87.4,15.75
Mantonico,87.55555555555556,28.285714285714285
Manzoni,87.0,22.333333333333332
Marawi,87.5,35.0
Maria Gomes,88.0,11.0
Maria Gomes-Bical,86.0,25.0
Marquette,84.5,18.0
Marsanne,88.52542372881356,41.47826086956522
Marsanne-Roussanne,87.26666666666667,28.833333333333332
Marsanne-Viognier,88.66666666666667,31.666666666666668
Marselan,88.75,34.0
Marzemino,86.5,44.333333333333336
Maréchal Foch,89.0,14.0
Mataro,89.5,54.25
Maturana,86.5,57.5
Mauzac,87.77777777777777,17.333333333333332
Mavrodaphne,86.1,14.5
Mavrokalavryta,86.0,15.0
Mavrotragano,90.0,50.0
Mavroudi,87.5,16.0
Mavrud,88.125,15.625
Mazuelo,87.75,78.25
Melnik,88.66666666666667,22.333333333333332
Melon,88.22064056939502,16.872427983539094
Mencía,88.61538461538461,29.49074074074074
Meoru,81.5,13.5
Meritage,87.62824207492795,36.543352601156066
Merlot,86.79672062224091,27.617239172178365
Merlot-Argaman,83.5,13.0
Merlot-Cabernet,87.35714285714286,18.923076923076923
Merlot-Cabernet Franc,88.48484848484848,38.375
Merlot-Cabernet Sauvignon,87.1969696969697,29.75409836065574
Merlot-Grenache,86.5,10.5
Merlot-Malbec,87.38461538461539,33.333333333333336
Merlot-Petite Verdot,83.0,20.0
Merlot-Shiraz,84.0,14.5
Merlot-Syrah,86.0,20.666666666666668
